Product_name,Product_price,Product_URL,Brand,Location,Product_Rating
Samsung S7 Edge,Rp1.475.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4h1j357-jual-samsung-s7-edge,Samsung,Purwakarta,None
Samsung M20 SEIN,Rp1.775.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/18hudl1-jual-samsung-m20-sein,Samsung,Jakarta Pusat,4.9
SAMSUNG NOTE 9 GLOBAL,Rp3.599.000,https://www.bukalapak.com/p/handphone/hp-smartphone/1m4yv4o-jual-samsung-note-9-global,Samsung,Bandung,5
SAMSUNG GALAXY A32 5G RAM 8GB ROM 128GB GARANSI RESMI,Rp3.750.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gje1q4-jual-samsung-galaxy-a32-5g-ram-8gb-rom-128gb-garansi-resmi,Samsung,Jakarta Utara,5
Samsung Galaxy Z Flip Garansi Resmi Lipat Zflip,Rp9.975.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gwzsuy-jual-samsung-galaxy-z-flip-garansi-resmi-lipat-zflip,Samsung,Jakarta Pusat,None
Samsung Galaxy A03s 4 64 GB Garansi sein,Rp1.952.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4geyywy-jual-samsung-galaxy-a03s-4-64-gb-garansi-sein,Samsung,Jakarta Barat,4.6
Samsung A52 8-128 8-256 Gb New Sein Resmi Harga list Gudang,Rp4.549.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4e82krm-jual-samsung-a52-8-128-8-256-gb-new-sein-resmi-harga-list-gudang,Samsung,Bekasi,5
Samsung A52s 8-256 5G New Garansi Resmi Sein Harga list Grosir Gudang,Rp5.695.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gjdl9s-jual-samsung-a52s-8-256-5g-new-garansi-resmi-sein-harga-list-grosir-gudang,Samsung,Bekasi,5
SAMSUNG GALAXY A12 RAM 6 128GB GARANSI RESMI SAMSUNG INDONESIA,Rp2.379.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/46mly6d-jual-samsung-galaxy-a12-ram-6-128gb-garansi-resmi-samsung-indonesia,Samsung,Jakarta Timur,5
Samsung Galaxy M32 Ram 6-128 Gb Garansi Resmi Sein,Rp2.767.500,https://www.bukalapak.com/p/handphone/hp-smartphone/hp-android/4gk35zs-jual-samsung-galaxy-m32-ram-6-128-gb-garansi-resmi-sein,Samsung,Jakarta Utara,5
